reviewerName,expertiseAreas
Jane A. Yu,"benchmark (surveying), swarm intelligence"
F. Puglisi,"benchmark (surveying), swarm intelligence"
K. Rubia,"benchmark (surveying), swarm intelligence"
Alekh Jindal,"benchmark (surveying), mining, argument (complex analysis), argumentative, margin (machine learning)"
Lukumon O. Oyedele,"benchmark (surveying), knowledge graph"
S. García,"benchmark (surveying), knowledge graph"
Stefan Jaeger,"benchmark (surveying), robustness"
G. Khan,"benchmark (surveying), dashboard, interface (matter)"
Sudarsun Kannan,"benchmark (surveying), dashboard, interface (matter)"
Xiongchao Tang,"benchmark (surveying), regularization"
Chih-Hao Shen,"benchmark (surveying), regularization, query plan, online aggregation"
Gangmin Li,"benchmark (surveying), edge device, dram, online analytical processing, memory bandwidth"
Christina Lachance,"benchmark (surveying), component (thermodynamics), spatial query, distortion (music)"
Chun-Feng Wu,"benchmark (surveying), component (thermodynamics)"
Pengfei Liu,"benchmark (surveying), tracking (education)"
N. Kryvinska,"benchmark (surveying), statistical inference, sample (material), delay discounting"
N. Knap,benchmark (surveying)
Haitao Zheng,"benchmark (surveying), transformer"
Yu Guo,"benchmark (surveying), transformer"
David P. Woodruff,benchmark (surveying)
Chenxu Wang,"benchmark (surveying), backpropagation"
Jun Peng,"benchmark (surveying), backpropagation, convolution (computer science)"
Máté Tömösközi,"benchmark (surveying), overfitting"
F. Hachem,"benchmark (surveying), overfitting"
K. Sornalakshmi,"benchmark (surveying), overfitting"
Z. Mao,"benchmark (surveying), medical genetics, exome, regularization, proband, indel"
Sang Ryeol Park,"benchmark (surveying), regularization"
Khoa Nguyen,benchmark (surveying)
Stephan Diederich,"benchmark (surveying), linked data"
A. Cortes,benchmark (surveying)
C. Lindgren,benchmark (surveying)
F. Granato,benchmark (surveying)
A. Alonso-Vicario,"benchmark (surveying), defuzzification, pace, data management, benchmarking, code (set theory)"
A. Korhonen,benchmark (surveying)
J. Betge,"benchmark (surveying), biomedical text mining, named entity recognition, relationship extraction"
Fabrizio F. Borelli,"benchmark (surveying), adaboost"
Shiyou Qian,"benchmark (surveying), mobile edge computing"
Kizito Nkurikiyeyezu,"benchmark (surveying), mobile edge computing"
Zhili Zhang,benchmark (surveying)
T. Kärkkäinen,"time horizon, vehicle routing problem"
W. König,"time horizon, exome, economic evaluation"
Huijuan Hu,"time horizon, exome, economic evaluation"
Y. Tao,"time horizon, exome, economic evaluation"
Y. Boechat,time horizon
Baturalp Buyukates,time horizon
L. Domingues,phenylephrine
Jiajia Wang,phenylephrine
Annie Kwon,phenylephrine
J. Jiménez-Vacas,"phenylephrine, moiety"
Yanqiu Sun,"phenylephrine, pandemic, coronavirus"
C. Lewis,phenylephrine
J. Matusiak,phenylephrine
Xin Gao,"firmware, upgrade"
Xiaoyao Zheng,"firmware, upgrade"
P. Bakalov,firmware
O. Guardamagna,"stratification (seeds), rna-seq"
Karla J. Lister,"stratification (seeds), omics, risk stratification"
N. McHugh,"stratification (seeds), omics, risk stratification"
Yuying Liang,"human pathogen, pandemic, betacoronavirus, 2019-20 coronavirus outbreak, sars virus"
Ruirui Zhao,"human pathogen, pandemic, betacoronavirus, 2019-20 coronavirus outbreak, sars virus"
Weijuan Qin,"human pathogen, pandemic, betacoronavirus, 2019-20 coronavirus outbreak, sars virus"
Javier Herrero,"human pathogen, efflux, synthesis"
M. Anees,"human pathogen, efflux, microbial genetics, petabyte, bloom filter"
Xin Liu,"human pathogen, efflux"
N. Garrido,human pathogen
Nicola Schwedhelm-Domeyer,endothelial dysfunction
Lisa Salz,endothelial dysfunction
A. Mir,endothelial dysfunction
D. Sellon,endothelial dysfunction
Junhua Wang,intrahepatic cholangiocarcinoma
Cigall Kadoch,"intrahepatic cholangiocarcinoma, liver cancer"
J. Pfaendtner,"intrahepatic cholangiocarcinoma, liver cancer"
Xin Wu,"ventromedial prefrontal cortex, indexing, delay discounting, temporal discounting, intertemporal choice"
Qian Hao,"ventromedial prefrontal cortex, liver disease"
Rosie O’Shea,"ventromedial prefrontal cortex, ventral striatum, delay discounting, temporal discounting, intertemporal choice"
L. Klarić,"ventromedial prefrontal cortex, ventral striatum, delay discounting, temporal discounting, intertemporal choice"
Delong Wang,"milking, health, udder"
A. E. de Paula,"milking, health, udder"
L. Snell,"milking, health, proinflammatory cytokine"
Varsha Bhat Kukkala,"distributed computing environment, mining, distributed database"
Song Guo,"map reduce, differential privacy, speedup"
A. Anter,"map reduce, differential privacy, speedup"
A. Samanta,net (polyhedron)
A. Shdefat,"net (polyhedron), microgrid, zero (linguistics)"
Xunying Liu,"storage area network, extensibility, converged storage"
P. Peluso,"storage area network, extensibility, converged storage"
W. Fung,cloudsim
Xiaoyu Wang,"hnf1b, genome-wide association study, hnf1a"
K. Rahmouni,"hnf1b, genome-wide association study, hnf1a"
O. Magnusson,"hnf1b, genome-wide association study, hnf1a"
J. Funder,"hnf1b, genetic analysis, sanger sequencing, genetic diagnosis, hnf1a"
A. Kauffmann,"hnf1b, genetic analysis, sanger sequencing, genetic diagnosis, hnf1a"
D. Cilliers,"hnf1b, genetic analysis, sanger sequencing, genetic diagnosis, hnf1a"
A. Sainsbury,"maladaptation, dysbiosis"
M. Lamacz,"adapter molecule crk, genome, subfamily, biotic stress"
C. Henry,"ancestry-informative marker, genome-wide association study, genetic association, genetic admixture, genetic architecture, trait, genetic genealogy"
J. Ceron,"ancestry-informative marker, genome-wide association study, genetic association, genetic architecture, genetic genealogy"
Neil A. Miller,"ventilator-associated pneumonia, etiology"
Tengxiang Huang,ventilator-associated pneumonia
Gaorui Gong,ventilator-associated pneumonia
Sukh Makhnoon,ventilator-associated pneumonia
Yiming Chen,"microservices, edge device"
S. Saide,"microservices, orchestration"
Samir Gupta,"coding region, genome-wide association study, genetic association, genome, snp"
S. Walker,"per1, per2"
R. Tayebee,"per1, per2"
Qiang Zhao,"per1, per2"
H. Lüders,"per1, per2"
G. Pan,"per1, per2"
A. Halevy,"per1, microblogging"
S. Gong,per1
Jie Li,per1
R. Amorrortu,"web of things, publication"
S. Knyazev,"web of things, publication"
Baocang Wang,web of things
S. Islam,web of things
Tingting Jiang,web of things
P. K. Panwar,medicago sativa
Ya-Ping Qin,"medicago sativa, living polymerization, living free-radical polymerization, cationic polymerization, living cationic polymerization"
Steven C. Wilson,milestone
G. Baele,milestone
Yang Xie,"milestone, human genetics, human disease"
G. Tay,"milestone, human genetics, human disease"
A. Wadood,"interactome, coronavirus, dried blood spot"
N. Lippa,"interactome, brachypodium, coronavirus, brachypodium distachyon, plant biochemistry"
P. Fernández-Ortega,"interactome, xenobiotic"
Reuber A. Brandão,"interactome, xenobiotic"
D. Lawrence,"interactome, molecular, cell signaling, signalling"
A. Krivtsov,"interactome, molecular, cell signaling, signalling"
A. Poetsch,"interactome, molecular, cell signaling, diastereomer, signalling"
Tao Huang,"bartonella, ancient dna"
M. Dadlez,"bartonella, ancient dna"
R. Santana-Davila,"bartonella, wildlife disease, emerging infectious disease, zoonosis"
E. Cheung,"bartonella, wildlife disease, emerging infectious disease, zoonosis"
A. Abdellaoui,"bartonella, wildlife disease, emerging infectious disease, zoonosis"
M. Tint,"panicle, loss function"
Emiliano Rosatelli,basal (medicine)
Nasrin Hosseini,"basal (medicine), morphology"
U. Lösch,"basal (medicine), capacitation, univariate analysis"
Aiqin Luo,"basal (medicine), univariate analysis"
Jorge A. Lamboy,"impulse control, delay discounting, temporal discounting, intertemporal choice, trait"
Andrew O. M. Wilkie,"impulse control, delay discounting, temporal discounting, intertemporal choice, trait"
K. Gaitskell,"impulse control, delay discounting, temporal discounting, intertemporal choice, trait"
Luojia Yang,vasotocin
Renmao Tian,"vasotocin, coronavirus, pegylation, surface charge, biocompatibility"
Tao Ma,"acetate kinase, malate synthase, corynebacterium glutamicum"
Xudong Shen,"acetate kinase, malate synthase, corynebacterium glutamicum"
R. S. Coyne,acetate kinase
R. McCrindle,"rule-based system, categorical variable"
Tolga Ergen,"rule-based system, categorical variable"
Hyunji Kim,"rule-based system, categorical variable"
Atif Rizwan,"rule-based system, mining"
J. Delgado,mist
Shuchao Xu,"rivastigmine, pathogenesis"
Consuelo D. Quinto-Cortés,"rivastigmine, pathogenesis"
R. Chapman,"danish, genome-wide association study, genetic association, trait"
G. Chrousos,"danish, sequence (biology), 1000 genomes project, indel"
F. Boardman-Pretty,danish
A. Olumi,danish
Jan-Philipp Mallm,danish
B. Chen,"adoptive cell transfer, pandemic, preparedness, high-throughput screening, cell therapy"
A. Ferretti,"adoptive cell transfer, high-throughput screening, cell therapy"
Chenchen Cai,"adoptive cell transfer, high-throughput screening, cell therapy"
A. Freedman,"adoptive cell transfer, immune checkpoint, cell therapy"
G. Moutel,"adoptive cell transfer, immune checkpoint, cell therapy"
Jian Zhou,resistome
U. A. Mokhtar,resistome
J. Vasconcelos,"resistome, genome, minion"
D. Enard,"resistome, univariate, nomogram, genome, minion, functional divergence, biotic stress, univariate analysis, r gene"
A. Brookes,"hydroxymethyl, dispersity, cationic polymerization"
Xuejie Yang,"very large database, mining, transformer"
Jesús Camacho-Rodríguez,"very large database, database security, spurious relationship"
Huanchen Zhang,"very large database, database security, spurious relationship"
Justin Gambone,"consensus clustering, data stream clustering, distributed database"
Y. Kompatsiaris,"consensus clustering, data stream clustering, distributed database"
Hadiastri Kusumawardhani,"discipline, disadvantaged, health"
M. Seidel,"discipline, disadvantaged, health"
Hao Chen,"discipline, disadvantaged, health"
A. Lasfar,negative selection
Moses M. Kasembeli,"diethylenetriaminepentaacetic acid, conjugate, mri contrast agent"
F. Conti-Ramsden,"diethylenetriaminepentaacetic acid, scarcity, conjugate, mri contrast agent"
R. Chammas,"diethylenetriaminepentaacetic acid, synthesis, characterization"
B. Zapała,"diethylenetriaminepentaacetic acid, synthesis, characterization"
A. Bürkle,"pharmacodynamics, gratification, delay discounting"
M. Poveda-Villalón,"neuroeconomics, stimulus (psychology), orbitofrontal cortex, ventral striatum"
Wattana Viriyasitavat,"neuroeconomics, stimulus (psychology), orbitofrontal cortex, ventral striatum"
J. di Iulio,"neuroeconomics, temporal discounting"
Baopeng Ding,"neuroeconomics, temporal discounting"
Youngjae Kim,"bitmap, indexing"
P. Boncz,"neighbourhood (mathematics), power grid"
G. Aloisio,"raspberry pi, python"
Vangelis Marinakis,"raspberry pi, python, health"
Jianzhong Qi,"raspberry pi, python"
Tuba Bircan,lattice (music)
F. De Graeve,lattice (music)
A. Rimoin,lattice (music)
Soumen Kanrar,"lattice (music), blueprint"
M. F. Adak,lattice (music)
M. Ott,lattice (music)
Jinyan Liu,"reductionism, cancer immunotherapy, genetic association, toolbox"
S. Passmore,reductionism
L. Rasmussen-Torvik,"rna-directed dna methylation, genome"
P. Padungtod,"dry weight, physcomitrella patens, chromatographic separation, isotope dilution, indole-3-acetic acid, receptor, monolith, protein kinase domain"
S. Sarkar,"dry weight, chromatographic, isotope dilution, indole-3-acetic acid"
B. Coiffier,"dry weight, chromatographic, isotope dilution, indole-3-acetic acid"
L. G. Fernandes,"elastic net regularization, overfitting"
G. Giannopoulos,"elastic net regularization, overfitting"
D. Biswas,"circular rna, triple-negative breast cancer"
L. F. da Silva,"circular rna, triple-negative breast cancer"
Niall J. English,"circular rna, competing endogenous rna, kegg, biotic stress"
A. Trkola,"circular rna, brassica rapa"
Marissa Mesko,"genetic disorder, pcsk9"
J. Villeneuve,"genetic disorder, pcsk9"
Michael D. Shapiro,"genetic disorder, low-density lipoprotein"
M. Awad,"genetic disorder, low-density lipoprotein"
D. Górecki,"genetic disorder, low-density lipoprotein"
